;catalog_number;cataloged_date;Determined date 1;Start Date;start_year;start_month;determined_year;determined_month;cataloged_month;cataloged_year;class;kingdom;genus;species;family;phylum;order;type;author;author_year;determiner_full_name;determiner_full_name1;determiner_full_name2;collector_full_name;collector_full_name2;collector_full_name3;collector_full_name4;collector_first_name;collector_last_name;qualifier;min_depth;max_depth;lat;long;continent;water_body;country;state;county;locality
3301;IBUFRJ 3302;2014-02-10;2003-00-00;2003-07-01;2003.0;7.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Flabelligeridae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1039.0;1039.0;-22.1815;-39.87175;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3302;IBUFRJ 3303;2014-02-10;2003-00-00;2003-06-18;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Flabelligeridae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;739.0;739.0;-22.5199444;-40.2533611;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3303;IBUFRJ 3304;2014-02-10;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Flabelligeridae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;749.0;749.0;-22.17875;-39.9125;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3304;IBUFRJ 3305;2014-02-10;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Flabelligeridae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;753.0;753.0;-21.8831111;-39.9256111;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3305;IBUFRJ 3306;2014-02-10;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Flabelligeridae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1600.0;1600.0;-22.8016389;-40.1107222;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3306;IBUFRJ 3307;2014-02-10;2003-00-00;2003-06-11;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Ampharetidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1023.0;1023.0;-22.6826944;-40.2753056;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3307;IBUFRJ 3308;2014-02-10;2003-00-00;2002-05-18;2002.0;5.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Ampharetidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;900.0;900.0;-22.59645;-40.2500917;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3308;IBUFRJ 3309;2014-02-10;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Ampharetidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1042.0;1042.0;-22.4413333;-39.9814722;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3309;IBUFRJ 3310;2014-02-10;2003-00-00;2002-11-26;2002.0;11.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Ampharetidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;775.0;775.0;-22.3305917;-40.0097528;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3310;IBUFRJ 3311;2014-02-10;2003-00-00;2002-11-24;2002.0;11.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Ampharetidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;738.0;738.0;-22.0763111;-39.9016389;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3311;IBUFRJ 3312;2014-02-10;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Sigalionidae;Annelida;Phyllodocida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1319.0;1319.0;-22.7470833;-40.1685;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3312;IBUFRJ 3313;2014-02-10;2003-00-00;2003-06-18;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Sigalionidae;Annelida;Phyllodocida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;749.0;749.0;-22.4586389;-40.1565278;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3313;IBUFRJ 3314;2014-02-10;2003-00-00;2003-07-22;2003.0;7.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Polynoidae;Annelida;Phyllodocida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1059.0;1059.0;-22.8;-40.1;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3314;IBUFRJ 3315;2014-02-10;2003-00-00;2003-06-18;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Sternaspis;sp.;Sternaspidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;749.0;749.0;-22.4586389;-40.1565278;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3315;IBUFRJ 3316;2014-02-10;2003-00-00;2003-06-18;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Sternaspis;sp.;Sternaspidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;698.0;698.0;-21.9532778;-39.9345;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3316;IBUFRJ 3317;2014-02-10;2003-00-00;2003-06-27;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Sternaspis;sp.;Sternaspidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1641.0;1641.0;-22.0792222;-39.7754722;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3317;IBUFRJ 3318;2014-02-10;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Sternaspis;sp.;Sternaspidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1040.0;1040.0;-22.5843611;-40.1479167;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3318;IBUFRJ 3319;2014-02-10;2003-00-00;2003-06-01;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Sternaspis;sp.;Sternaspidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1338.0;1338.0;-22.6480278;-40.7545278;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3319;IBUFRJ 3320;2014-02-10;2003-00-00;2003-06-28;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Sternaspis;sp.;Sternaspidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1055.0;1055.0;-21.8804167;-39.8612222;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3320;IBUFRJ 3321;2014-02-10;2003-00-00;2002-11-22;2002.0;11.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Sternaspis;sp.;Sternaspidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1334.0;1334.0;-22.7468361;-40.1688;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3321;IBUFRJ 3322;2014-02-10;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Pholoidae;Annelida;Phyllodocida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1340.0;1340.0;-22.44125;-39.9023056;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3322;IBUFRJ 3323;2014-02-10;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Pholoidae;Annelida;Phyllodocida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1040.0;1040.0;-22.5843611;-40.1479167;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3323;IBUFRJ 3324;2014-02-10;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Pholoidae;Annelida;Phyllodocida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1623.0;1623.0;-22.6863333;-40.0389722;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3324;IBUFRJ 3325;2014-02-10;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Pholoidae;Annelida;Phyllodocida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1900.0;1900.0;-22.6921944;-40.0013056;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3325;IBUFRJ 3326;2014-02-10;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Pholoidae;Annelida;Phyllodocida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1039.0;1039.0;-22.5245278;-40.0636944;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3326;IBUFRJ 3327;2014-02-10;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Pholoidae;Annelida;Phyllodocida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1968.0;1968.0;-22.5096944;-39.8624722;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3327;IBUFRJ 3328;2014-02-10;2003-00-00;2003-06-26;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Pholoidae;Annelida;Phyllodocida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1941.0;1941.0;-21.8786389;-39.6782222;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3328;IBUFRJ 3329;2014-02-10;2003-00-00;2003-06-25;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Lopadorrhynchidae;Annelida;Phyllodocida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1038.0;1038.0;-22.0786944;-39.81925;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3329;IBUFRJ 3330;2014-02-10;2003-00-00;2003-06-26;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Amphicteis;sp.;Ampharetidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1372.0;1372.0;-21.8810556;-39.8034722;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3330;IBUFRJ 3331;2014-02-10;2003-00-00;2003-06-25;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Chirimia;sp.;Maldanidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1094.0;1094.0;-22.4087722;-39.9577917;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3331;IBUFRJ 3332;2014-02-10;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Chirimia;sp.;Maldanidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1048.0;1048.0;-22.0476667;-39.8728889;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3332;IBUFRJ 3333;2014-02-10;2003-00-00;2003-06-25;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Chirimia;sp.;Maldanidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1939.0;1939.0;-22.6174722;-39.9389167;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3333;IBUFRJ 3334;2014-02-10;2003-00-00;2003-06-28;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Chirimia;sp.;Maldanidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1587.0;1587.0;-21.9543056;-39.7949167;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3334;IBUFRJ 3335;2014-02-10;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Chirimia;sp.;Maldanidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1039.0;1039.0;-22.5245278;-40.5245278;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3335;IBUFRJ 3336;2014-02-10;2003-00-00;2003-06-25;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Chirimia;sp.;Maldanidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1030.0;1030.0;-22.0760833;-39.8680833;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3336;IBUFRJ 3337;2014-02-10;2003-00-00;2002-12-10;2002.0;12.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Chirimia;sp.;Maldanidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;745.0;745.0;-22.1786889;-39.9127861;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3337;IBUFRJ 3338;2014-02-10;2003-00-00;2002-04-22;2002.0;4.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Chirimia;sp.;Maldanidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1045.0;1045.0;-22.6827333;-40.2750972;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3338;IBUFRJ 3339;2014-02-10;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Chirimia;sp.;Maldanidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;698.0;698.0;-21.9532778;-39.9345;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3339;IBUFRJ 3340;2014-02-10;2003-00-00;2003-07-01;2003.0;7.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Chirimia;sp.;Maldanidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1039.0;1039.0;-22.1815;-39.87175;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3340;IBUFRJ 3341;2014-02-10;2003-00-00;2003-06-28;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Chirimia;sp.;Maldanidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1055.0;1055.0;-21.8803333;-39.8612222;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3341;IBUFRJ 3342;2014-02-10;2003-00-00;2002-05-18;2002.0;5.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Kinbergonuphis;sp.;Onuphidae;Annelida;Eunicida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1097.0;1097.0;-22.63365;-40.2907083;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3342;IBUFRJ 3343;2014-02-10;2003-00-00;2002-12-10;2002.0;12.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Chaetopteridae;Annelida;Spionida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;745.0;745.0;-22.1786889;-39.9127778;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3343;IBUFRJ 3344;2014-02-10;2003-00-00;2001-09-24;2001.0;9.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Spiochaetopterus;sp.;Chaetopteridae;Annelida;Spionida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1220.0;1220.0;-21.9113889;-39.8634361;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3344;IBUFRJ 3345;2014-02-10;2003-00-00;2003-02-07;2003.0;2.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Nereididae;Annelida;Phyllodocida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1130.0;1130.0;-22.0666667;-39.7833333;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3345;IBUFRJ 3346;2014-02-10;2003-00-00;2003-06-26;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Dorvilleidae;Annelida;Eunicida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1941.0;1941.0;-21.8786389;-39.6782222;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3346;IBUFRJ 3347;2014-02-10;2003-00-00;2003-06-26;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Hyboscolex;sp.;Scalibregmatidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1939.0;1939.0;-22.6174722;-39.9389167;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3347;IBUFRJ 3348;2014-02-10;2003-00-00;2003-06-26;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Hyboscolex;sp.;Scalibregmatidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1623.0;1623.0;-22.6863333;-40.0389722;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3348;IBUFRJ 3349;2014-02-10;2003-00-00;2002-11-04;2002.0;11.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Hyboscolex;sp.;Scalibregmatidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;738.0;738.0;-22.0763111;-39.9016389;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3349;IBUFRJ 3350;2014-02-10;2003-00-00;2002-05-08;2002.0;5.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Spiophanes;sp.;Spionidae;Annelida;Spionida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1355.0;1355.0;-22.0434083;-39.8267694;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3350;IBUFRJ 3351;2014-02-10;2003-00-00;2002-05-13;2002.0;5.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Spiophanes;sp.;Spionidae;Annelida;Spionida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1200.0;1200.0;-22.0508472;-39.8422889;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3351;IBUFRJ 3352;2014-02-10;2003-00-00;2002-05-09;2002.0;5.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Spiophanes;sp.;Spionidae;Annelida;Spionida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1152.0;1152.0;-22.0844944;-39.8337639;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3352;IBUFRJ 3353;2014-02-10;2003-00-00;2002-05-13;2002.0;5.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Spiophanes;sp.;Spionidae;Annelida;Spionida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;1230.0;1230.0;-22.121425;-39.8435472;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3353;IBUFRJ 3354;2014-02-11;1993-00-00;1992-05-11;1992.0;5.0;1993.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nephtys;simoni;Nephtyidae;Annelida;Phyllodocida;;Perkins;1980;Paulo C. Paiva;;;;;;;;;;;0.0;-23.1166667;-43.9863889;South America;Atlantic Ocean;Brazil;Rio de Janeiro;Mangaratiba;Ilha da Marambaia, Baía de Sepetiba
3354;IBUFRJ 3355;2014-02-11;2012-00-00;2011-08-31;2011.0;8.0;2012.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Lumbrineridae;Annelida;Eunicida;;;;Mariana V. Gonçalves;Elinia M. Lopes;Elinia M. Lopes;;;;;;;;0.0;0.0;-7.1580389;-34.7940444;South America;Atlantic Ocean;Brazil;Paraíba;João Pessoa;Praia de Jacarapé
3355;IBUFRJ 3356;2014-02-11;2012-00-00;2011-08-28;2011.0;8.0;2012.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Oenonidae;Annelida;Eunicida;;;;Mariana V. Gonçalves;Elinia M. Lopes;Elinia M. Lopes;;;;;;;;;;-7.1255;-34.8245278;South America;Atlantic Ocean;Brazil;Paraíba;João Pessoa;Cabo Branco
3356;IBUFRJ 3357;2014-02-11;2014-08-22;1991-04-27;1991.0;4.0;2014.0;8.0;2.0;2014.0;Polychaeta;Animalia;Phragmatopoma;caudata;Sabellariidae;Annelida;Sabellida;;Krøyer in Mörch;1863;Gisele E. Occhioni;;;;;;;;;;;;-20.2838528;-40.2902222;South America;Atlantic Ocean;Brazil;Espírito Santo;Vitória;Praias de Camburi
3357;IBUFRJ 3358;2014-02-11;2013-00-00;2013-02-01;2013.0;2.0;2013.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Glyceridae;Annelida;Phyllodocida;;;;Andre M. Lanna;;;;;;;;;;;;-20.6388139;-40.4308639;South America;Atlantic Ocean;Brazil;Espírito Santo;Guarapari;Praia de Setiba Pina
3358;IBUFRJ 3359;2014-02-11;2013-00-00;2013-12-17;2013.0;12.0;2013.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Oenonidae;Annelida;Eunicida;;;;Raquel M. Berlandi;;;;;;;;;;;1.0;-23.0854167;-44.2409667;South America;Atlantic Ocean;Brazil;Rio de Janeiro;Angra dos Reis;Ilha Grande, Praia dos Macacos
3359;IBUFRJ 3360;2014-02-17;2013-00-00;2013-11-20;2013.0;11.0;2013.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Syllidae;Annelida;Phyllodocida;;;;Raquel M. Berlandi;;;;;;;;;;;2.0;-23.0854167;-44.2409667;South America;Atlantic Ocean;Brazil;Rio de Janeiro;Angra dos Reis;Ilha Grande, Praia dos Macacos
3360;IBUFRJ 3361;2014-02-17;2014-00-00;2014-02-17;2014.0;2.0;2014.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Glyceridae;Annelida;Phyllodocida;;;;Elinia M. Lopes;;;;;;;;;;;;-22.9452722;-42.1781917;South America;Atlantic Ocean;Brazil;Rio de Janeiro;Arraial do cabo;Praia de Figueiras
3361;IBUFRJ 3362;2014-02-17;2013-00-00;2013-11-20;2013.0;11.0;2013.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Cirratulidae;Annelida;Terebellida;;;;Raquel M. Berlandi;;;;;;;;;;;2.0;-23.0854167;-44.2409667;South America;Atlantic Ocean;Brazil;Rio de Janeiro;Angra dos Reis;Ilha Grande, Praia dos Macacos
3362;IBUFRJ 3363;2014-02-17;2003-00-00;2003-07-01;2003.0;7.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Chaetozone;sp.;Cirratulidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;;754.0;-22.6003611;-40.3621389;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3363;IBUFRJ 3364;2014-02-18;2003-00-00;2003-06-18;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Tharyx;sp.;Cirratulidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;;749.0;-22.17875;-39.9256111;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3364;IBUFRJ 3365;2014-02-18;2003-00-00;2002-06-30;2002.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Cirratulidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;;722.0;-22.3;-41.1833333;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3365;IBUFRJ 3366;2014-02-18;2003-00-00;2003-06-29;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Cirratulidae;Annelida;Terebellida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;;698.0;-22.3;-41.1833333;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3366;IBUFRJ 3367;2014-02-18;2003-00-00;2001-09-24;2001.0;9.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Notomastus;sp.;Capitellidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;;1220.0;-21.9115778;-39.8634361;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3367;IBUFRJ 3368;2014-02-18;2003-00-00;2002-02-15;2002.0;2.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Notomastus;sp.;Capitellidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;;1222.0;-22.6595444;-40.1395194;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3368;IBUFRJ 3369;2014-02-18;2003-00-00;2002-11-24;2002.0;11.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Mediomastus;sp.;Capitellidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;;738.0;-22.3;-41.1833333;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3369;IBUFRJ 3370;2014-02-18;2003-00-00;2003-06-18;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Nan;nan;Capitellidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;;722.0;-22.3;-41.1833333;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
3370;IBUFRJ 3371;2014-02-18;2003-00-00;2003-06-18;2003.0;6.0;2003.0;0.0;2.0;2014.0;Polychaeta;Animalia;Notomastus;sp.;Capitellidae;Annelida;Scolecida;;;;;;;Projeto Oceanproof;;;;Projeto;Oceanproof;;;743.0;-22.5199444;-40.2533611;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos
