;Catalog Number;Cataloged Date;Cataloger First Name;Cataloger Last Name;Online;Object Condition;Return Date;Count;Remarks;Specimen condition;Kingdom;Phylum 1;Class 1;Order 1;Family 1;Genus 1;Species 1;Species Author 1;Species Author Year 1;Qualifier 1;Type Status 1;Current 1;Determiner Last Name 1;Determined date 1;Remarks 1;Phylum 2;Class 2;Order 2;Family 2;Genus 2;Species 2;Species Author 2;Qualifier 2;Type Status 2;Current 2;Determiner Last Name 2;Determined date 2;Remarks 2;Start Date;End Date;Verbatim Date;Collector First Name 1;Collector Middle 1;Collector Last Name 1;Collector First Name 2;Collector Middle 2;Collector Last Name 2;Collector First Name 3;Collector Middle 3;Collector Last Name 3;Collector First Name 4;Collector Middle 4;Collector Last Name 4;Min Depth;Max Depth;Substratum;Habitat;Associated Taxa;Researcher Code;Trip Name;Remarks (CT);Method;Prep Type 1;Count 1;Description 1;Fluid Preservation 1;Storage Location 1;Prep Type 2;Count 2;Description 2;Fluid Preservation 2;Storage Location 2;Prep Type 3;Count 3;Description 3;Fluid Preservation 3;Storage Location 3;Continent;WaterBody;Country;State;County;Locality Name;Verbatim locality;Locality and habitat notes;LocationRemarks;Latitude/Longitude Type;Latitude;Longitude;Object Condition Citation;Journal
2073;IBUFRJ 2074;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Rhynchonereella;gracilis;Costa;1864;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-05-01;;2000-05-01;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2074;IBUFRJ 2075;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Vanadis;minuta;Treadwell;1906;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-29;;2000-04-29;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2075;IBUFRJ 2076;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Plotohelmis;tenuis;(Apstein; 1900);cf.;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-30;;2000-04-30;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2076;IBUFRJ 2077;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Rhynchonereella;gracilis;Costa;1864;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-30;;2000-04-30;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2077;IBUFRJ 2078;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Plotohelmis;tenuis;(Apstein; 1900);cf.;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-29;;2000-04-29;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2078;IBUFRJ 2079;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Plotohelmis;alata;Chamberlin;1919;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-18;;2000-04-18;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2079;IBUFRJ 2080;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Vanadis;minuta;Treadwell;1906;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-12;;2000-04-12;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2080;IBUFRJ 2081;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Vanadis;minuta;Treadwell;1906;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-21;;2000-04-21;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2081;IBUFRJ 2082;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Vanadis;minuta;Treadwell;1906;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-18;;2000-04-18;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2082;IBUFRJ 2083;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Rhynchonereella;gracilis;Costa;1864;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-12;;2000-04-12;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2083;IBUFRJ 2084;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Rhynchonereella;gracilis;Costa;1864;cf.;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-12;;2000-04-12;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2084;IBUFRJ 2085;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Rhynchonereella;gracilis;Costa;1864;cf.;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-01;;2000-04-01;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2085;IBUFRJ 2086;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Torrea;candida;(Delle Chiaje; 1841);;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-01;;2000-04-01;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2086;IBUFRJ 2087;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Vanadis;formosa;Claparède;1870;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-01;;2000-04-01;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2087;IBUFRJ 2088;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Vanadis;minuta;Treadwell;1906;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-12;;2000-04-12;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2088;IBUFRJ 2089;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Rhynchonereella;gracilis;Costa;1864;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-08-25;;2000-08-25;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2089;IBUFRJ 2090;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;;;;;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-07;;2000-04-07;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2090;IBUFRJ 2091;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Plotohelmis;capitata;(Greeff; 1876);;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-07;;2000-04-07;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2091;IBUFRJ 2092;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Vanadis;minuta;Treadwell;1906;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-07;;2000-04-07;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2092;IBUFRJ 2093;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Rhynchonereella;gracilis;Costa;1864;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-16;;2000-04-16;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2093;IBUFRJ 2094;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Rhynchonereella;gracilis;Costa;1864;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-01;;2000-04-01;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2094;IBUFRJ 2095;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Rhynchonereella;gracilis;Costa;1864;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-01;;2000-04-01;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2095;IBUFRJ 2096;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Plotohelmis;capitata;(Greeff; 1876);;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-01;;2000-04-01;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2096;IBUFRJ 2097;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Plotohelmis;tenuis;(Apstein; 1900);;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-01;;2000-04-01;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2097;IBUFRJ 2098;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Rhynchonereella;petersii;(Langerhans; 1880);;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-30;;2000-04-30;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2098;IBUFRJ 2099;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Rhynchonereella;sp.;;;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-03-31;;2000-03-31;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2099;IBUFRJ 2100;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Rhynchonereella;gracilis;Costa;1864;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-30;;2000-04-30;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2100;IBUFRJ 2101;2013-05-21;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Alciopina;sp.;;;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-30;;2000-04-30;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2101;IBUFRJ 2102;2013-06-19;Unknown;Unknown;Yes;Available;;1.0;;In good condition;Animalia;Annelida ;Polychaeta;Phyllodocida;Polynoidae;Harmothoe;gilchristi;Day;1960;;;True;Vinicius D. Miranda;2012-00-00;;;;;;;;;;;False;;;;2008-09-01;;2008-09-01;Petrobras;;;;;;;;;;;;603.0;603.0;;Marine;Solenosmilia variabilis;;Projeto Ecoproof;;REV;Ethanol 92%;1.0;;Ethanol 92.8%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro;;;;Point;-22.3754917;-40.1031722;;
2102;IBUFRJ 2103;2013-06-17;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Alciopina;sp.;;;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-05-01;;2000-05-01;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Ethanol 92%;;;Ethanol 92.8%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;;
2103;IBUFRJ 2104;2013-06-19;Unknown;Unknown;Yes;Available;;2.0;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Polynoidae;Harmothoe;gilchristi;Day;1960;;;True;Vinicius D. Miranda;2012-00-00;;;;;;;;;;;False;;;;2009-01-17;;2009-01-17;Petrobras;;;;;;;;;;;;613.0;613.0;;Marine;Solenosmilia variabilis;;Projeto Ecoproof;;REV;Ethanol 92%;2.0;;Ethanol 92.8%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro;;;;Point;-22.3675056;-40.0950583;;
2104;IBUFRJ 2105;2013-06-17;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Vanadis;minuta;Treadwell;1906;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-30;;2000-04-30;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2105;IBUFRJ 2106;2013-06-17;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Vanadis;minuta;Treadwell;1906;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-30;;2000-04-30;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2106;IBUFRJ 2107;2013-06-17;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Vanadis;minuta;Treadwell;1906;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-24;;2000-04-24;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
2107;IBUFRJ 2108;2013-06-17;Unknown;Unknown;Yes;Available;;;;;Animalia;Annelida ;Polychaeta;Phyllodocida;Alciopidae;Vanadis;formosa;Claparède;1870;;;True;Bruna T. Faro;2011-00-00;;;;;;;;;;;False;;;;2000-04-22;;2000-04-22;Ricardo;Bastos;Guimaraes;Francisco;;Mattos;;;;;;;0.0;200.0;;Marine;;;;;Plankton net, mesh 200 µm, vertical drag;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;;;Brazil;;Pelágicos;;;;;Taxonomia e Padrões de Distribuição das Larvas dos Anelídeos Poliquetas da Região Central da Zona Econômica Exclusiva (13 e 25ºS e 28 e 42ºW) Brasileira;
